Detector;Descriptor;Image No;Detection Time;Matched Keys;Avg. NBH. dist.;Descriptor ext. time
SIFT;BRIEF;image9;176.780427;159;5.519967;1.004752;
SIFT;BRIEF;image10;182.527916;137;5.625094;0.942217;
SIFT;FREAK;image1;178.347052;138;4.984712;56.058829;
SIFT;FREAK;image2;180.010914;132;5.089799;54.953130;
SIFT;FREAK;image3;175.554579;124;4.939265;54.834219;
SIFT;FREAK;image4;176.516779;137;4.731220;55.656616;
SIFT;FREAK;image5;180.311295;134;4.719594;55.451032;
SIFT;FREAK;image6;179.914631;140;4.683967;56.818880;
SIFT;FREAK;image7;175.501886;137;5.407970;55.900720;
SIFT;FREAK;image8;188.051049;148;4.621866;55.947722;
SIFT;FREAK;image9;178.113318;159;5.519967;57.915029;
SIFT;FREAK;image10;174.780263;137;5.625094;56.141720;
SIFT;SIFT;image1;176.863871;138;4.984712;102.438934;
SIFT;SIFT;image2;146.196710;132;5.089799;103.129031;
SIFT;SIFT;image3;140.237932;124;4.939265;96.492738;
SIFT;SIFT;image4;138.870209;137;4.731220;113.981128;
SIFT;SIFT;image5;147.428427;134;4.719594;109.842242;
SIFT;SIFT;image6;144.996893;140;4.683967;106.129960;
SIFT;SIFT;image7;149.862668;137;5.407970;109.920158;
SIFT;SIFT;image8;157.462120;148;4.621866;102.310821;
SIFT;SIFT;image9;160.070818;159;5.519967;127.093091;
SIFT;SIFT;image10;180.271839;137;5.625094;136.097592;
